['2023-10-10 18:26:08.970863', 1]left leffff 
['2023-10-10 18:26:21.460276', 2]left leffff 
['2023-10-10 18:28:00.454410', 1]left leg 
['2023-10-10 18:28:22.837300', 1]right leg 
['2023-10-10 18:33:35.984923', 1]Left Leg 
['2023-10-10 18:33:42.538587', 1]right leg 
['2023-10-10 18:33:42.538587', 1]Right Leg 
['2023-10-10 18:33:48.197990', 2]Left Leg 
['2023-10-10 18:33:48.201242', 2]right leg 
['2023-10-10 18:33:48.201242', 2]Right Leg 
['2023-10-10 18:33:48.285970', 1]Saccades 
['2023-10-11 10:28:11.797801', 0]StandUp/Down 
['2023-10-11 10:30:25.824561', 0]StandUp/Down 
['2023-10-11 10:44:29.929773', 0]StandUp/Down 
['2023-10-11 10:54:41.487288', 0]StandUp/Down 
['2023-10-11 11:23:37.268312', 0]StandUp/Down 
['2023-10-11 11:44:40.431750', 0]StandUp/Down 
['2023-10-11 11:47:23.915974', 0]StandUp/Down 
['2023-10-11 14:16:15.877728', 0]StandUp/Down 
['2023-10-11 14:19:08.822884', 0]StandUp/Down 
['2023-10-11 14:27:10.274635', 0]StandUp/Down 
['2023-10-11 14:27:28.049502', 1]Left Leg 
['2023-10-11 14:27:42.054938', 2]Left Leg 
['2023-10-11 14:28:48.276766', 0]StandUp/Down 
['2023-10-11 14:29:14.567208', 1]Left Leg 
['2023-10-11 14:29:23.247525', 2]Left Leg 
['2023-10-11 14:29:43.177197', 3]Left Leg 
['2023-10-11 14:29:43.181890', 1]Coushion 
['2023-10-11 14:29:50.263029', 4]Left Leg 
['2023-10-11 14:29:50.277738', 2]Coushion 
['2023-10-11 15:48:05.713686', 0]StandUp/Down 
['2023-10-11 15:48:34.347193', 1]Left Leg 
['2023-10-11 15:48:43.181582', 2]Left Leg 
['2023-10-11 15:48:55.936940', 3]Left Leg 
['2023-10-11 15:48:55.939965', 1]Sitted 
['2023-10-11 15:49:01.354013', 4]Left Leg 
['2023-10-11 15:49:01.401854', 2]Sitted 
['2023-10-11 15:49:10.840430', 5]Left Leg 
['2023-10-11 15:56:33.532964', 0]StandUp/Down 
['2023-10-11 16:01:13.107920', 0]StandUp/Down 
['2023-10-11 16:01:37.022681', 1]Left Leg 
['2023-10-11 16:01:37.215830', 1]Right Leg 
['2023-10-11 16:01:37.306809', 1]Saccades 
['2023-10-11 16:01:59.275257', 1]StandUp/Down 
['2023-10-11 16:02:12.865625', 2]Left Leg 
['2023-10-11 16:02:21.529805', 3]Left Leg 
['2023-10-11 16:02:21.531801', 2]Right Leg 
['2023-10-11 16:02:21.643101', 2]Saccades 
['2023-10-11 16:02:41.319132', 4]Left Leg 
['2023-10-11 16:02:41.412386', 3]Right Leg 
['2023-10-11 16:02:41.532693', 3]Saccades 
['2023-10-11 16:04:32.753401', 0]StandUp/Down 
['2023-10-11 16:04:55.387614', 1]Left Arm 
['2023-10-11 16:04:55.443620', 1]Right Arm 
['2023-10-11 16:04:55.544078', 1]Left Leg 
['2023-10-11 16:05:54.879250', 0]StandUp/Down 
['2023-10-11 16:06:12.960226', 1]Right Arm 
